;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;270,000;20,222;26,089;162,127;162,127;543,746;-0,226;3,474;288,243;2586,216;288,243
0;315,000;21,812;30,376;331,960;331,960;1627,613;0,065;8,086;325,322;3520,142;325,322
0;360,000;21,738;28,657;209,735;209,735;589,851;-0,052;3,771;277,409;1517,994;277,409
0;405,000;21,665;28,481;249,180;249,180;885,037;-0,202;4,999;278,706;1879,825;278,706
0;450,000;20,297;26,925;192,798;192,798;635,033;0,177;3,738;301,595;5500,444;301,595
0;495,000;20,329;26,040;197,299;197,299;723,413;-0,177;3,927;252,995;1880,468;252,995
0;540,000;20,363;27,134;214,466;214,466;649,936;-0,251;4,267;275,120;2434,783;275,120
0;585,000;19,190;25,821;184,176;184,176;801,162;0,164;4,321;240,482;2131,344;240,482
0;630,000;19,223;25,555;201,877;201,877;788,516;0,454;4,916;262,837;0,000;262,837
0;675,000;17,359;23,685;199,588;199,588;902,352;0,019;4,988;264,668;4588,518;264,668
0;720,000;16,506;21,917;164,111;164,111;548,491;0,230;4,316;238,193;1724,856;238,193
0;765,000;17,248;23,270;197,147;197,147;530,736;0,677;6,171;274,968;1871,270;274,968
0;810,000;16,723;22,117;175,555;175,555;585,781;0,620;4,447;277,333;1396,145;277,333
0;855,000;15,005;19,922;181,201;181,201;704,314;0,582;6,143;253,758;1798,561;253,758
0;900,000;13,777;18,247;149,157;149,157;679,015;0,337;4,719;229,114;1859,459;229,114
0;945,000;14,615;19,524;139,925;139,925;611,636;0,653;4,186;247,883;1392,239;247,883
0;990,000;14,587;19,467;196,307;196,307;918,707;0,193;6,041;219,425;2005,367;219,425
0;1035,000;14,150;18,925;129,854;129,854;554,699;0,828;4,060;294,728;0,000;294,728
0;1080,000;14,474;19,257;170,291;170,291;569,519;0,194;5,025;216,907;2540,249;216,907
0;1125,000;14,715;19,282;128,099;128,099;498,349;0,633;3,748;241,474;2436,237;241,474
0;1170,000;12,927;17,179;132,601;132,601;758,384;0,701;4,502;369,497;0,000;369,497
0;1215,000;12,405;16,473;123,445;123,445;571,497;0,195;4,281;334,096;0,000;334,096
0;1260,000;12,318;17,079;169,986;169,986;965,753;0,480;6,338;321,431;11449,473;321,431
0;1305,000;11,528;15,346;103,075;103,075;678,134;0,653;3,976;320,439;11230,210;320,439
0;1350,000;11,127;14,004;89,876;89,876;653,464;0,569;3,158;308,003;3277,490;308,003
0;1395,000;12,642;16,229;115,358;115,358;642,835;0,853;3,891;325,933;4248,718;325,933
0;1440,000;13,119;18,236;152,819;152,819;934,050;0,532;5,665;510,262;8187,207;510,262
0;1485,000;12,457;17,827;143,359;143,359;944,897;-0,045;5,492;477,455;8151,693;477,455
0;1530,000;9,546;15,353;153,670;153,670;1511,094;-1,728;13,928;535,156;0,000;535,156
0;1575,000;9,288;14,161;140,348;140,348;1637,273;-1,597;12,451;651,163;0,000;651,163
