;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;270,000;16,991;22,578;120,528;135,346;719,094;-0,069;3,585;402,799;3452,099;402,799
0;315,000;17,296;23,250;122,325;142,728;694,363;0,254;4,115;433,083;0,000;433,083
0;360,000;19,076;26,552;142,766;175,028;609,757;0,053;5,175;518,423;0,000;518,423
0;405,000;21,226;29,712;157,011;213,443;861,311;0,078;5,683;482,063;0,000;482,063
0;450,000;24,144;34,946;196,368;226,615;967,494;0,151;4,887;515,439;5420,680;515,439
0;495,000;22,536;32,228;165,676;229,815;816,361;-0,215;4,636;597,637;6709,408;597,637
0;540,000;24,121;35,330;165,823;242,922;871,868;0,029;4,865;719,971;7861,479;719,971
0;585,000;29,482;47,076;233,765;437,410;1422,931;0,024;7,736;809,870;7602,236;809,870
0;630,000;29,566;52,458;310,443;657,239;1957,203;-0,529;16,565;976,313;7358,077;976,313
0;675,000;31,292;60,596;300,678;747,567;1460,653;0,199;16,709;1089,611;7256,036;1089,611
0;720,000;23,497;36,041;195,045;333,849;1037,594;-0,301;6,998;727,382;0,000;727,382
0;765,000;23,415;36,945;217,773;281,704;1182,972;0,130;7,576;800,269;6630,700;800,269
0;810,000;21,473;32,587;201,124;375,576;1102,735;0,080;10,525;799,320;7678,377;799,320
0;855,000;20,392;27,777;142,780;210,868;812,446;0,248;4,808;765,808;7172,179;765,808
0;900,000;21,641;32,899;172,936;246,346;982,941;0,977;6,734;760,902;5818,348;760,902
0;945,000;23,949;43,069;224,046;497,220;1413,049;1,308;15,177;890,734;4942,169;890,734
0;990,000;26,165;58,259;297,836;901,705;1690,148;4,446;52,638;681,626;4977,143;681,626
0;1035,000;22,498;33,371;182,962;243,458;865,979;1,447;8,390;611,056;4031,606;611,056
0;1080,000;21,862;29,095;148,856;195,126;808,012;0,377;4,379;668,602;8452,911;668,602
0;1125,000;19,664;26,769;139,196;167,536;866,923;0,639;4,652;580,719;1864,661;580,719
0;1170,000;17,943;24,610;126,899;153,918;726,214;0,663;4,722;595,744;8476,777;595,744
0;1215,000;18,948;26,192;129,936;160,373;812,481;0,697;4,238;602,949;10054,437;602,949
0;1260,000;22,457;32,510;175,117;266,626;1148,664;1,385;8,300;609,205;5002,584;609,205
0;1305,000;22,781;34,588;208,048;440,427;1030,245;1,564;14,255;508,826;9990,996;508,826
0;1350,000;18,184;26,458;138,043;174,209;815,799;0,614;5,326;467,077;6604,884;467,077
0;1395,000;17,881;26,965;144,547;219,119;914,380;-0,025;6,524;544,065;6641,354;544,065
0;1440,000;15,385;23,753;131,437;259,544;973,637;-0,415;11,139;525,826;6712,016;525,826
0;1485,000;17,871;27,858;169,932;284,068;953,859;0,131;8,890;479,708;6802,026;479,708
0;1530,000;17,322;25,820;146,899;225,471;1048,856;1,048;6,828;469,704;5063,424;469,704
0;1575,000;19,645;27,746;148,669;195,628;985,843;0,825;5,286;549,480;10026,198;549,480
0;1620,000;19,420;27,688;138,470;165,588;997,865;0,571;4,245;518,498;4860,443;518,498
0;1665,000;17,978;25,110;113,389;166,020;954,024;0,302;4,300;560,661;4740,370;560,661
0;1710,000;19,398;29,673;156,714;248,901;1276,977;0,630;7,416;586,056;5530,110;586,056
0;1755,000;21,613;32,834;169,819;256,277;1401,062;0,892;6,720;586,934;5497,249;586,934
0;1800,000;21,396;36,172;204,853;454,977;1412,270;1,417;16,159;542,598;6747,826;542,598
0;1845,000;18,236;26,807;134,538;183,958;1044,479;0,564;5,043;560,137;9097,614;560,137
0;1890,000;17,166;25,793;137,794;194,897;1118,838;0,702;6,493;589,529;9019,354;589,529
0;1935,000;17,280;25,976;133,725;212,238;1022,699;0,724;6,998;648,517;8931,325;648,517
0;1980,000;19,758;27,388;124,132;168,249;848,013;0,328;3,879;616,023;8708,286;616,023
0;2025,000;20,784;33,813;170,746;394,186;1266,272;0,099;12,256;644,387;8536,033;644,387
0;2070,000;22,884;38,964;193,809;525,424;941,782;-0,135;18,393;704,675;4671,573;704,675
0;2115,000;20,662;31,969;162,052;363,350;931,249;0,091;10,554;671,242;4856,584;671,242
0;2160,000;18,216;26,564;142,597;249,905;872,565;-0,475;8,287;718,929;5333,128;718,929
0;2205,000;18,179;24,951;129,847;176,160;958,118;0,011;4,405;773,840;5397,861;773,840
0;2250,000;18,337;25,847;127,882;164,880;840,220;0,301;4,394;819,217;5427,609;819,217
0;2295,000;18,932;26,282;132,182;166,904;972,374;0,680;4,798;821,021;5536,117;821,021
0;2340,000;19,276;26,437;137,049;174,385;831,798;0,285;4,465;889,692;7332,020;889,692
0;2385,000;22,074;29,651;145,960;178,479;858,573;0,436;3,966;894,372;7234,618;894,372
0;2430,000;22,952;30,945;151,469;205,369;854,835;0,525;4,429;693,220;4527,462;693,220
0;2475,000;23,342;33,274;159,395;243,388;899,595;0,275;4,954;672,286;5078,827;672,286
0;2520,000;26,748;39,556;180,465;256,109;1004,568;0,492;5,523;760,882;7510,594;760,882
0;2565,000;28,275;43,862;235,011;519,382;1080,011;0,377;12,241;796,341;7537,263;796,341
